,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,mandera,3.94,41.87,78.8,68,30,18.59,KE,1581381209
358,belmonte,-15.86,-38.88,80.6,83,20,8.05,BR,1581381209
359,pamyat parizhskoy kommuny,56.1,44.5,23.0,62,2,20.13,RU,1581381209
360,takapau,-40.03,176.35,75.99,49,0,8.01,NZ,1581381209
361,howard springs,-12.5,131.05,84.99,79,75,12.75,AU,1581381209
362,krasnyy chikoy,50.36,108.75,11.05,84,3,1.61,RU,1581381209
363,campo do brito,-10.73,-37.49,82.4,83,40,10.29,BR,1581381157
364,pivijay,10.46,-74.62,80.6,78,20,13.87,CO,1581381209
365,naze,28.37,129.48,62.6,63,75,2.24,JP,1581381145
366,pacific grove,36.62,-121.92,71.01,27,1,5.82,US,1581381015
367,berlevag,70.86,29.09,37.62,89,100,18.59,NO,1581381209
368,quatre cocos,-20.21,57.76,78.8,94,75,12.75,MU,1581381209
369,kungurtug,50.6,97.52,12.94,73,51,4.52,RU,1581381210
370,cayenne,4.93,-52.33,78.8,88,90,6.93,GF,1581381165
371,leon valley,29.5,-98.62,60.8,82,90,10.29,US,1581381041
372,grindavik,63.84,-22.43,35.6,80,75,23.04,IS,1581381210
373,padang,-0.95,100.35,67.66,92,84,4.16,ID,1581381130
374,wanning,18.8,110.4,68.27,93,89,3.58,CN,1581381210
375,orissaare,58.56,23.08,41.0,86,90,14.99,EE,1581381210
376,araouane,18.9,-3.53,78.64,26,100,10.02,ML,1581381210
377,tambo,-14.8,-73.92,49.19,92,100,2.55,PE,1581381210
378,balaipungut,1.05,101.28,74.03,96,100,0.83,ID,1581381210
379,martin,27.08,-80.42,75.99,78,20,9.17,US,1581381210
380,amga,60.9,131.96,0.43,96,100,8.9,RU,1581381210
381,durban,-29.86,31.03,71.01,94,90,4.7,ZA,1581381210
382,kruisfontein,-34.0,24.73,62.96,86,0,9.08,ZA,1581381211
